year,production,area,machine,fertilizer,pesticide,farmer,prep,temp,Uoutput
1978,15.00,47.97,17.43,0.00,,76.80,36.02,-1.73,3127.17
1979,13.00,52.00,22.95,0.30,,80.40,38.83,-1.00,2500.00
1980,14.50,41.57,29.86,0.30,,81.80,33.51,-1.50,3488.37
1981,,,27.07,0.20,,83.10,28.78,-0.40,
1982,,,27.88,0.50,,84.20,31.58,-2.60,
1983,,,24.27,1.30,,84.40,35.60,-2.13,
1984,,0.00,31.04,1.30,,86.60,27.64,0.07,
1985,4.50,15.57,32.73,0.80,,87.80,33.33,0.37,2890.79
1986,6.30,21.83,35.00,0.50,,89.60,26.75,0.03,2885.50
1987,7.20,22.97,39.00,0.50,,90.20,32.90,-0.63,3134.98
1988,6.80,23.10,39.00,1.20,,89.20,32.30,0.40,2943.72
1989,9.30,24.37,46.00,1.30,,90.30,30.08,0.30,3816.69
1990,11.60,27.20,45.40,1.60,,90.70,36.56,-0.30,4264.71
1991,13.40,26.83,48.50,2.00,0.04,91.20,35.11,-0.43,4993.79
1992,15.00,31.10,57.20,1.80,0.05,91.60,38.41,-1.60,4823.15
1993,15.00,31.10,57.20,1.80,0.10,91.60,39.21,-0.73,4823.15
1994,18.20,33.90,58.50,1.50,0.05,92.30,29.27,0.57,5368.73
1995,18.70,33.50,58.50,1.50,0.05,92.30,31.75,-0.60,5582.09
1996,19.30,35.40,63.60,2.90,0.12,95.30,32.56,1.20,5451.98
1997,21.20,38.61,0.00,3.10,0.06,98.80,29.93,-0.70,5490.81
1998,21.09,38.86,91.50,4.60,0.04,97.50,43.46,0.60,5427.17
1999,23.80,39.96,99.62,2.68,0.07,100.91,27.85,0.80,5955.96
2000,24.53,38.41,114.52,2.50,0.07,100.83,25.15,0.20,6386.36
2001,28.45,46.99,123.21,3.02,0.06,100.68,29.38,1.87,6054.48
2002,20.85,28.72,145.80,3.04,0.06,103.50,29.06,1.37,7259.75
2003,21.24,28.18,181.19,3.19,0.06,103.61,38.05,0.50,7537.26
2004,20.41,27.04,191.63,3.98,0.07,105.68,32.82,0.37,7548.08
2005,17.12,27.95,230.86,4.21,0.07,108.83,37.62,1.37,6125.22
2006,20.92,29.98,280.14,4.40,0.09,110.63,30.06,2.63,6977.99
2007,20.69,28.66,329.42,4.58,0.10,112.42,29.93,1.53,7219.12
2008,19.30,28.41,349.64,4.60,0.12,115.07,29.92,1.33,6793.38
2009,19.47,26.85,358.44,4.69,0.09,119.37,28.91,1.93,7251.40
2010,19.78,28.04,378.06,4.74,0.10,121.94,38.72,1.10,7054.21
2011,19.17,27.91,427.90,4.79,0.10,126.08,28.91,0.80,6868.51
2012,18.43,28.28,464.95,4.99,0.09,127.91,29.45,1.02,6516.97
2013,18.76,28.04,517.30,5.70,0.10,,34.79,1.33,6690.44
2014,18.57,27.52,570.82,5.34,0.10,,28.51,1.30,6747.82
2015,18.57,26.54,619.69,6.03,0.11,,31.78,0.53,6996.99
2016,21.28,32.15,635.14,5.91,0.11,,30.75,1.93,6619.60
2017,15.58,25.76,523.09,5.53,0.11,,33.39,2.20,6050.60
2018,14.39,23.35,545.78,5.19,0.10,,27.58,2.60,6163.79
